Target_Team,Remarks
Network,Hi Router is performing route flap kindly look into this issue by the end of week as I am not able to work thanks       
Network,"Hi, I am unable to connect to Server SQ1221234 raise an incident to handle this urgently as highly impacting on project thanks     "
Network,am working in xyz project and IP address is 11.33.234.21. am unable to connect with our company network as it is showing limited access today as Impact is on my work regards 
Software,"Hi, I need following software to be installed in my laptop Oracle Application Testing Suite 12.2.0.1.0 as it is important for my project delivery.    "
Hardware,Few letters are not capturing while entering data as they are used continuoulsy for all purposes. Kindly replace my keyboard ASAP     
Network,Facing issue with wifi please check today as Impact is on my Project thanks          
Software,"Hi, I need following software to be installed in my laptop   liferay-portal-tomcat-5.5-5.2.3 as it is important for my project delivery.     "
Software,Hi Please install StarUML as it is required by client project.            
Software,Hi Please install SAFARI BROWSER as it is required by client project.           
Software,Please install this software as this is required for generating tokens as part of my project requirement        
Hardware,"Hi, I need a Apple MAC as it is urgent for my work.            "
Software,Hi Please install Redis3.2.6 as it is required by client project.           
Software,Hi Please install JBossWeb Win32: GNU LGPL as it is required by client project.          
Software,Hi Please install IE developer tool as it is required by client project.           
Software,Hi Please install Eclipse IDE as it is required by client project.           
Software,Please install this java runtime environment as per the project requirement          
Software,Hi Please install THC-Hydra * (GNU GPL Version 2) as it is required by client project.         
Software,Hi Please install FUSE Services Framework v2.2 as it is required by client project.          
Software,"Hi, I need following software to be installed in my laptop FUSE ESB v3.4 as it is important for my project delivery.       "
Network,"My system's LAN connection is not stable facing network access issues since yesterday week Kindly, please look into this issue by the end of week as am not able to work regards"
Software,Hi Please install Macys SQL SERVER 2014 Management Studio as it is required by client project.        
Hardware,"Hi, I need new NIC as my current NIC is not working.            "
Hardware,am facing issues with mouse click where it is clicking twice whenever i click on anything         
Network,give me admin rights to my laptop urgently as Impact is on my Project reagrds          
Software,Hi Please install Beyond Compare 4.x as it is required by client project.          
Hardware,Please ugrade the RAM to 8GB as it is mandatory for our application specific.
